State,Year,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Ohio,2018,11641879.0,39.3,54533.0,30304.0,1645986.0,14.13849087419651
Indiana,2018,6637426.0,37.6,54325.0,28461.0,908359.0,13.685410579342053
Illinois,2018,12821497.0,37.9,63575.0,34463.0,1635603.0,12.75672411731641
Michigan,2018,9957488.0,39.7,54938.0,30336.0,1457008.0,14.632284769010015
Wisconsin,2018,5778394.0,39.3,59209.0,32018.0,668220.0,11.564112796739025
Minnesota,2018,5527358.0,37.9,68411.0,36245.0,547442.0,9.904225490731738
Iowa,2018,3132499.0,38.1,58580.0,31085.0,353634.0,11.28919753845093
Mississippi,2018,2988762.0,37.2,43567.0,23434.0,599795.0,20.06834267833973
North Dakota,2018,752201.0,35.1,63473.0,35373.0,79270.0,10.538406622697922
South Dakota,2018,864289.0,36.8,56499.0,29801.0,113144.0,13.090991554908138
Nebraska,2018,1904760.0,36.4,59116.0,31101.0,213790.0,11.223986223986223
Kansas,2018,2908776.0,36.5,57422.0,30757.0,350280.0,12.04217856582975
Ohio,2019,11655397.0,39.4,56602.0,31552.0,1588343.0,13.627532378347988
Indiana,2019,6665703.0,37.7,56303.0,29777.0,867996.0,13.021822304414103
Illinois,2019,12770631.0,38.1,65886.0,36038.0,1557873.0,12.198872553752434
Michigan,2019,9965265.0,39.7,57144.0,31713.0,1398527.0,14.034017158600399
Wisconsin,2019,5790716.0,39.5,61747.0,33375.0,639160.0,11.037667880794016
Minnesota,2019,5563378.0,38.0,71306.0,37625.0,526065.0,9.455855776831989
Iowa,2019,3139508.0,38.2,60523.0,32176.0,348122.0,11.088425320145705
Mississippi,2019,2984418.0,37.5,45081.0,24369.0,585786.0,19.628148603848388
North Dakota,2019,756717.0,35.1,64894.0,36062.0,78198.0,10.333850039050265
South Dakota,2019,870638.0,37.0,58275.0,30773.0,110553.0,12.697929564296528
Nebraska,2019,1914571.0,36.5,61439.0,32302.0,206579.0,10.789832291411496
Kansas,2019,2910652.0,36.7,59597.0,31814.0,337739.0,11.603551369246478
Ohio,2020,11675275.0,39.5,58116.0,32465.0,1546011.0,13.241752335598092
Indiana,2020,6696893.0,37.8,58235.0,30693.0,838149.0,12.51549039233567
Illinois,2020,12716164.0,38.3,68428.0,37306.0,1488670.0,11.706910983532456
Michigan,2020,9973907.0,39.8,59234.0,32854.0,1337256.0,13.407544305355966
Wisconsin,2020,5806975.0,39.6,63293.0,34450.0,620947.0,10.693123355964163
Minnesota,2020,5600166.0,38.1,73382.0,38881.0,511185.0,9.12803299045064
Iowa,2020,3150011.0,38.3,61836.0,33021.0,339090.0,10.764724313661127
Mississippi,2020,2981835.0,37.7,46511.0,25444.0,564439.0,18.92924994173051
North Dakota,2020,760394.0,35.2,65315.0,36289.0,77491.0,10.190901032885582
South Dakota,2020,879336.0,37.2,59896.0,31415.0,108863.0,12.380136830517573
Nebraska,2020,1923826.0,36.6,63015.0,33205.0,193820.0,10.074715696741805
Kansas,2020,2912619.0,36.9,61091.0,32798.0,323644.0,11.111786333880264
Ohio,2021,11769923.0,39.4,61938.0,34526.0,1528963.0,12.9904248311565
Indiana,2021,6751340.0,37.9,61944.0,32537.0,819005.0,12.13099917942216
Illinois,2021,12821813.0,38.5,72563.0,39571.0,1483378.0,11.569175123674007
Michigan,2021,10062512.0,39.8,63202.0,34768.0,1310058.0,13.019194411892379
Wisconsin,2021,5871661.0,39.6,67080.0,36754.0,610632.0,10.399646709849224
Minnesota,2021,5670472.0,38.2,77706.0,41204.0,512312.0,9.034732911122742
Iowa,2021,3179090.0,38.3,65429.0,34817.0,339695.0,10.685290444749914
Mississippi,2021,2967023.0,37.8,49111.0,26807.0,557111.0,18.77676715010298
North Dakota,2021,773344.0,35.2,68131.0,37343.0,80390.0,10.395115239789796
South Dakota,2021,881785.0,37.1,63920.0,33468.0,106291.0,12.054072137766008
Nebraska,2021,1951480.0,36.7,66644.0,35189.0,195455.0,10.01573164982475
Kansas,2021,2932099.0,37.0,64521.0,34968.0,327209.0,11.159548159867725
Ohio,2022,11774683.0,39.6,66990.0,37729.0,1526507.0,12.964315047802137
Indiana,2022,6784403.0,38.0,67173.0,35578.0,810702.0,11.949496514284307
Illinois,2022,12757634.0,38.7,78433.0,43198.0,1467893.0,11.505997115139062
Michigan,2022,10057921.0,39.9,68505.0,37929.0,1293164.0,12.857169985725678
Wisconsin,2022,5882128.0,39.9,72458.0,40130.0,611661.0,10.398634643788778
Minnesota,2022,5695292.0,38.5,84313.0,44947.0,516284.0,9.065101490845421
Iowa,2022,3188836.0,38.4,70571.0,37949.0,343141.0,10.760697633870164
Mississippi,2022,2958846.0,38.1,52985.0,29209.0,548804.0,18.547906852874398
North Dakota,2022,776874.0,35.4,73959.0,40748.0,80810.0,10.40194420201989
South Dakota,2022,890342.0,37.5,69457.0,36850.0,105542.0,11.854096515720926
Nebraska,2022,1958939.0,36.9,71722.0,38585.0,198466.0,10.131300668372011
Kansas,2022,2935922.0,37.1,69747.0,38108.0,329870.0,11.235652718294286
