State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Ohio,2018,11641879.0,39.3,2002.0,140000.0,1944435.0,1126792.0,1269.0,471.0,54533.0,30304.0,82178.0,49920.0,1645986.0,14.13849087419651
Indiana,2018,6637426.0,37.6,2003.0,135400.0,1158794.0,601938.0,1130.0,401.0,54325.0,28461.0,77244.0,49471.0,908359.0,13.685410579342053
Illinois,2018,12821497.0,37.9,2003.0,187200.0,2034106.0,1154929.0,1668.0,626.0,63575.0,34463.0,93876.0,57899.0,1635603.0,12.75672411731641
Michigan,2018,9957488.0,39.7,2003.0,146200.0,1681021.0,1096093.0,1279.0,484.0,54938.0,30336.0,80982.0,48491.0,1457008.0,14.632284769010015
Wisconsin,2018,5778394.0,39.3,2003.0,173600.0,1008935.0,559105.0,1418.0,550.0,59209.0,32018.0,85828.0,53875.0,668220.0,11.564112796739025
Minnesota,2018,5527358.0,37.9,2003.0,211800.0,1034568.0,516722.0,1547.0,520.0,68411.0,36245.0,95577.0,59421.0,547442.0,9.904225490731738
Iowa,2018,3132499.0,38.1,2004.0,142300.0,542373.0,351779.0,1234.0,472.0,58580.0,31085.0,83362.0,52715.0,353634.0,11.28919753845093
Mississippi,2018,2988762.0,37.2,2002.0,114500.0,374676.0,379342.0,1134.0,357.0,43567.0,23434.0,70383.0,40219.0,599795.0,20.06834267833973
North Dakota,2018,752201.0,35.1,2005.0,185000.0,104979.0,92368.0,1389.0,455.0,63473.0,35373.0,95907.0,64067.0,79270.0,10.538406622697922
South Dakota,2018,864289.0,36.8,2005.0,159100.0,128765.0,103871.0,1298.0,471.0,56499.0,29801.0,82802.0,54913.0,113144.0,13.090991554908138
Nebraska,2018,1904760.0,36.4,2004.0,147800.0,303343.0,195224.0,1352.0,510.0,59116.0,31101.0,87076.0,54931.0,213790.0,11.223986223986223
Kansas,2018,2908776.0,36.5,2004.0,145400.0,445487.0,300358.0,1349.0,495.0,57422.0,30757.0,85350.0,53306.0,350280.0,12.04217856582975
Ohio,2019,11655397.0,39.4,2003,145700.0,1944132.0,1144914.0,1282.0,479.0,56602.0,31552.0,84821.0,52155.0,1588343.0,13.627532378347988
Indiana,2019,6665703.0,37.7,2004,141700.0,1164194.0,611988.0,1148.0,409.0,56303.0,29777.0,80300.0,51619.0,867996.0,13.021822304414103
Illinois,2019,12770631.0,38.1,2004,194500.0,2027640.0,1175075.0,1693.0,641.0,65886.0,36038.0,97426.0,60425.0,1557873.0,12.198872553752434
Michigan,2019,9965265.0,39.7,2004,154900.0,1684941.0,1117758.0,1298.0,490.0,57144.0,31713.0,83970.0,50577.0,1398527.0,14.034017158600399
Wisconsin,2019,5790716.0,39.5,2004,180600.0,1010421.0,570518.0,1430.0,553.0,61747.0,33375.0,89154.0,56570.0,639160.0,11.037667880794016
Minnesota,2019,5563378.0,38.0,2004,223900.0,1037895.0,526975.0,1580.0,534.0,71306.0,37625.0,99204.0,62022.0,526065.0,9.455855776831989
Iowa,2019,3139508.0,38.2,2005,147800.0,544728.0,354495.0,1260.0,485.0,60523.0,32176.0,86006.0,54760.0,348122.0,11.088425320145705
Mississippi,2019,2984418.0,37.5,2003,119000.0,371622.0,381219.0,1147.0,359.0,45081.0,24369.0,72825.0,41628.0,585786.0,19.628148603848388
North Dakota,2019,756717.0,35.1,2006,193900.0,106235.0,92247.0,1426.0,466.0,64894.0,36062.0,99175.0,65787.0,78198.0,10.333850039050265
