State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Connecticut,2018,3581504.0,40.8,2002.0,272700.0,621120.0,286014.0,2096.0,877.0,76106.0,43056.0,112432.0,71107.0,348449.0,9.72912497096192
Maine,2018,1332813.0,44.6,2002.0,184500.0,249814.0,152305.0,1381.0,493.0,55425.0,31253.0,79446.0,47880.0,161743.0,12.13546086360202
Massachusetts,2018,6830193.0,39.4,2002.0,366800.0,1126604.0,494449.0,2165.0,786.0,77378.0,41794.0,117073.0,68308.0,710305.0,10.399486515241955
New Hampshire,2018,1343622.0,42.7,2003.0,252800.0,248258.0,126500.0,1917.0,792.0,74057.0,38548.0,104834.0,62265.0,102352.0,7.6176186457203
New Jersey,2018,8881845.0,39.8,2002.0,327900.0,1383992.0,670421.0,2439.0,1031.0,79363.0,40895.0,118802.0,71922.0,904132.0,10.179551658467357
New York,2018,19618453.0,38.7,2001.0,302200.0,2418813.0,1524543.0,2114.0,755.0,65323.0,37470.0,105237.0,64662.0,2797985.0,14.262006285612836
Pennsylvania,2018,12791181.0,40.7,2001.0,174100.0,2094765.0,1372702.0,1474.0,531.0,59445.0,32889.0,88898.0,51659.0,1578949.0,12.344043915882358
Rhode Island,2018,1056611.0,39.9,2001.0,249800.0,170955.0,76610.0,1838.0,724.0,63296.0,34619.0,97714.0,63043.0,133055.0,12.592619232622035
Vermont,2018,624977.0,42.9,2002.0,223700.0,115541.0,68029.0,1594.0,667.0,60076.0,33238.0,85022.0,52247.0,67034.0,10.725834710717354
Maryland,2018,6003435.0,38.6,2003.0,305500.0,1072008.0,391933.0,1987.0,617.0,81868.0,40517.0,113007.0,70558.0,553496.0,9.219655080799576
Delaware,2018,949495.0,40.2,2004.0,244700.0,167225.0,87083.0,1563.0,465.0,65627.0,33989.0,89427.0,55472.0,109798.0,11.563831299796208
Connecticut,2019,3575074.0,41.0,2002,275400.0,614351.0,291330.0,2119.0,894.0,78444.0,44496.0,115827.0,74496.0,344146.0,9.626262281563962
Maine,2019,1335492.0,44.7,2003,190400.0,249872.0,154887.0,1398.0,499.0,57918.0,32637.0,82432.0,49985.0,153131.0,11.466261123241472
Massachusetts,2019,6850553.0,39.5,2003,381600.0,1129945.0,502820.0,2225.0,812.0,81215.0,43761.0,121870.0,72480.0,680962.0,9.940248619345036
New Hampshire,2019,1348124.0,42.9,2004,261700.0,248689.0,129489.0,1948.0,811.0,76768.0,40003.0,108117.0,64754.0,98682.0,7.319949796902955
New Jersey,2019,8878503.0,39.9,2003,335600.0,1377910.0,686330.0,2465.0,1052.0,82545.0,42745.0,123378.0,75989.0,869081.0,9.788598370693798
New York,2019,19572319.0,38.8,2002,313700.0,2406639.0,1551163.0,2155.0,772.0,68486.0,39326.0,109098.0,67924.0,2681277.0,13.699332204834798
Pennsylvania,2019,12791530.0,40.8,2002,180200.0,2092266.0,1388712.0,1494.0,539.0,61744.0,34352.0,92024.0,53774.0,1539183.0,12.032829536419802
Rhode Island,2019,1057231.0,39.9,2002,261900.0,170625.0,78867.0,1860.0,739.0,67167.0,36121.0,101277.0,67762.0,125826.0,11.901467134429467
Vermont,2019,624313.0,42.9,2002,227700.0,115275.0,68724.0,1621.0,677.0,61973.0,34577.0,88599.0,55099.0,65652.0,10.51587905425644
Maryland,2019,6018848.0,38.7,2004,314800.0,1075641.0,399508.0,2017.0,627.0,84805.0,42122.0,116644.0,73068.0,539991.0,8.971667003386695
Delaware,2019,957248.0,40.6,2005,251100.0,168110.0,90670.0,1587.0,470.0,68287.0,35450.0,92435.0,59064.0,109400.0,11.42859530654543
