State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Alabama,2018,4864680.0,38.9,2003.0,137200.0,722643.0,552580.0,1174.0,358.0,48486.0,26846.0,75400.0,42890.0,829400.0,17.049425655952703
Arkansas,2018,2990671.0,37.9,2004.0,123300.0,415474.0,340957.0,1071.0,347.0,45726.0,25635.0,71084.0,42406.0,510337.0,17.06429761080373
Florida,2018,20598139.0,41.9,2005.0,196800.0,2835760.0,2118841.0,1466.0,492.0,53267.0,30197.0,77220.0,48373.0,2983851.0,14.486022256670857
Georgia,2018,10297484.0,36.5,2004.0,166800.0,1533925.0,806056.0,1383.0,418.0,55679.0,29523.0,83765.0,49016.0,1607714.0,15.61268752638994
Kentucky,2018,4440204.0,38.7,2003.0,135300.0,673651.0,483980.0,1158.0,370.0,48392.0,26948.0,75573.0,42262.0,772080.0,17.38839026315007
Louisiana,2018,4663616.0,36.6,2003.0,157800.0,597222.0,535862.0,1267.0,338.0,47942.0,27027.0,81273.0,44255.0,878394.0,18.835041307002978
Mississippi,2018,2988762.0,37.2,2002.0,114500.0,374676.0,379342.0,1134.0,357.0,43567.0,23434.0,70383.0,40219.0,599795.0,20.06834267833973
North Carolina,2018,10155624.0,38.6,2004.0,165900.0,1617213.0,931492.0,1290.0,394.0,52413.0,29456.0,79469.0,45084.0,1523949.0,15.005961228970273
South Carolina,2018,4955925.0,39.2,2004.0,154800.0,762745.0,542604.0,1227.0,371.0,51015.0,27986.0,75905.0,44003.0,770632.0,15.549710699818904
Tennessee,2018,6651089.0,38.7,2004.0,158600.0,1012457.0,688702.0,1224.0,381.0,50972.0,28511.0,75361.0,46275.0,1046508.0,15.734385752468505
Virginia,2018,8413774.0,38.1,2003.0,264900.0,1430890.0,639989.0,1767.0,470.0,71564.0,37763.0,102321.0,57296.0,893580.0,10.620442146413726
West Virginia,2018,1829054.0,42.4,2001.0,115000.0,250005.0,285875.0,1023.0,319.0,44921.0,25479.0,71480.0,40101.0,315464.0,17.247385807089348
Alabama,2019,4876250.0,39.0,2004,142700.0,721628.0,563120.0,1186.0,363.0,50536.0,27928.0,78392.0,44851.0,795989.0,16.323793899000258
Arkansas,2019,2999370.0,38.1,2005,127800.0,413684.0,345771.0,1089.0,353.0,47597.0,26577.0,73558.0,44337.0,496260.0,16.545474549655427
Florida,2019,20901636.0,42.0,2007,215300.0,2875285.0,2183556.0,1503.0,505.0,55660.0,31619.0,80863.0,50869.0,2870487.0,13.733312550271185
Georgia,2019,10403847.0,36.7,2005,176000.0,1547017.0,830756.0,1417.0,427.0,58700.0,31067.0,87381.0,51804.0,1528558.0,14.69223836144457
Kentucky,2019,4449052.0,38.9,2004,141000.0,673379.0,492652.0,1178.0,375.0,50589.0,28178.0,78344.0,43965.0,747010.0,16.790318476835065
Louisiana,2019,4664362.0,36.9,2004,163100.0,597122.0,544083.0,1295.0,344.0,49469.0,27923.0,84307.0,45526.0,871467.0,18.683519846872947
Mississippi,2019,2984418.0,37.5,2003,119000.0,371622.0,381219.0,1147.0,359.0,45081.0,24369.0,72825.0,41628.0,585786.0,19.628148603848388
North Carolina,2019,10264876.0,38.7,2004,172500.0,1633699.0,952235.0,1314.0,400.0,54602.0,30783.0,82493.0,47291.0,1467591.0,14.29721118891256
South Carolina,2019,5020806.0,39.4,2005,162300.0,777469.0,556370.0,1246.0,375.0,53199.0,29426.0,79157.0,46072.0,741650.0,14.771532698136514
Tennessee,2019,6709356.0,38.7,2005,167200.0,1019481.0,702766.0,1244.0,388.0,53320.0,29859.0,78977.0,48631.0,996930.0,14.858803139973494
Virginia,2019,8454463.0,38.2,2004,273100.0,1433704.0,654007.0,1799.0,479.0,74222.0,39278.0,105537.0,59758.0,865691.0,10.239455776197731
West Virginia,2019,1817305.0,42.5,2001,119600.0,249865.0,286288.0,1050.0,326.0,46711.0,26480.0,73906.0,41976.0,310044.0,17.06064749725555
Alabama,2020,4893186.0,39.2,2005,149600.0,727377.0,579128.0,1196.0,367.0,52035.0,28934.0,80511.0,46720.0,762642.0,15.585796248088668
Arkansas,2020,3011873.0,38.3,2006,133600.0,417563.0,352914.0,1103.0,353.0,49475.0,27724.0,75954.0,45704.0,470190.0,15.61121601076805
Florida,2020,21216924.0,42.2,2008,232000.0,2979345.0,2271533.0,1539.0,513.0,57703.0,32848.0,82898.0,52294.0,2772939.0,13.069467562781485
Georgia,2020,10516579.0,36.9,2006,190200.0,1583038.0,870121.0,1449.0,435.0,61224.0,32427.0,90770.0,54101.0,1461572.0,13.89778938569282
Kentucky,2020,4461952.0,39.0,2005,147100.0,675577.0,505444.0,1191.0,379.0,52238.0,29123.0,80661.0,45238.0,717895.0,16.089258692159845
Louisiana,2020,4664616.0,37.2,2004,168100.0,606824.0,560804.0,1310.0,344.0,50800.0,29522.0,85019.0,47796.0,845230.0,18.120033889177588
Mississippi,2020,2981835.0,37.7,2004,125500.0,384096.0,383876.0,1161.0,358.0,46511.0,25444.0,74826.0,42280.0,564439.0,18.92924994173051
North Carolina,2020,10386227.0,38.9,2005,182100.0,1656220.0,993629.0,1328.0,402.0,56642.0,31993.0,84878.0,49141.0,1411939.0,13.594339888777705
