State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Texas,2018,27885195.0,34.4,2005.0,161700.0,3421912.0,2495859.0,1549.0,500.0,59570.0,30143.0,93666.0,54847.0,4213938.0,15.111739401499612
Oklahoma,2018,3918137.0,36.4,2005.0,130900.0,534586.0,432452.0,1214.0,395.0,51424.0,27432.0,78274.0,47319.0,607810.0,15.51272964676835
New Mexico,2018,2092434.0,37.5,2003.0,166800.0,287148.0,237094.0,1262.0,350.0,48059.0,26085.0,72373.0,42645.0,410389.0,19.612996156629073
Arizona,2018,6946685.0,37.4,2007.0,209600.0,1031561.0,574504.0,1394.0,406.0,56213.0,29265.0,81041.0,48921.0,1092192.0,15.72249209515042
Texas,2019,28260856.0,34.6,2006,172500.0,3447105.0,2557697.0,1606.0,514.0,61874.0,31277.0,96937.0,57170.0,4072194.0,14.409308762622052
Oklahoma,2019,3932870.0,36.6,2005,136800.0,533581.0,437541.0,1234.0,401.0,52919.0,28422.0,81191.0,48868.0,598373.0,15.214665117331618
New Mexico,2019,2092454.0,37.8,2004,171400.0,286092.0,241804.0,1280.0,356.0,49754.0,27230.0,74818.0,44373.0,392065.0,18.737090516685193
Arizona,2019,7050299.0,37.7,2008,225500.0,1056797.0,599959.0,1434.0,419.0,58945.0,30694.0,84658.0,51305.0,1043764.0,14.804535240278462
Texas,2020,28635442.0,34.8,2007,187200.0,3503079.0,2665729.0,1654.0,526.0,63826.0,32177.0,100216.0,59266.0,3984260.0,13.913736690357355
Oklahoma,2020,3949342.0,36.7,2006,142400.0,537801.0,448754.0,1246.0,406.0,53840.0,29873.0,82867.0,49902.0,585520.0,14.825760848262824
New Mexico,2020,2097021.0,38.1,2004,175700.0,287838.0,251244.0,1293.0,360.0,51243.0,27945.0,76036.0,45995.0,381026.0,18.16987049724347
Arizona,2020,7174064.0,37.9,2009,242000.0,1093650.0,633526.0,1464.0,430.0,61529.0,32340.0,87147.0,53529.0,990528.0,13.807069465786757
Texas,2021,28862581.0,35.0,2008,202600.0,3640097.0,2750964.0,1747.0,557.0,67321.0,34255.0,105323.0,63030.0,3965117.0,13.737915538461372
Oklahoma,2021,3948136.0,36.8,2008,150800.0,541578.0,451813.0,1313.0,432.0,56956.0,30976.0,86723.0,53078.0,583853.0,14.788067077729846
New Mexico,2021,2109366.0,38.3,2005,184800.0,288555.0,255279.0,1359.0,378.0,54020.0,29624.0,80767.0,49108.0,378896.0,17.96255367726606
Arizona,2021,7079203.0,38.1,2011,265600.0,1121042.0,644616.0,1545.0,449.0,65913.0,34644.0,93406.0,57482.0,934911.0,13.206444284759174
Texas,2022,29243342.0,35.2,2010,238000.0,3699516.0,2846211.0,1913.0,611.0,73035.0,37514.0,113935.0,68703.0,3990326.0,13.645246155518066
Oklahoma,2022,3970497.0,36.9,2009,170500.0,543408.0,460670.0,1416.0,470.0,61364.0,33630.0,93780.0,57423.0,585991.0,14.75863097239464
New Mexico,2022,2112463.0,38.6,2007,216000.0,293870.0,264309.0,1457.0,413.0,58722.0,32667.0,87653.0,54146.0,378651.0,17.92462163834349
Arizona,2022,7172282.0,38.4,2011,321400.0,1140854.0,674498.0,1665.0,481.0,72581.0,38334.0,102250.0,63159.0,916876.0,12.78360220638285
