State,Year,Population,Median Age,Median Year Moved In,Median Home Value,Total Housing with Mortgage,Total Housing without Mortgage,Median Monthly Costs with Mortgage,Median Monthly Costs without Mortgage,Household Income,Per Capita Income,Median Household Income with Mortgage,Median Household Income without Mortgage,Poverty Count,Poverty Rate
Montana,2018,1041732.0,39.8,2004.0,219600.0,162315.0,124238.0,1386.0,421.0,52559.0,29765.0,76857.0,47809.0,139063.0,13.349210737502544
Wyoming,2018,581836.0,37.3,2005.0,213300.0,93013.0,67108.0,1428.0,415.0,62268.0,32295.0,88916.0,53994.0,63311.0,10.88124488687534
Colorado,2018,5531141.0,36.6,2006.0,313600.0,983251.0,387894.0,1681.0,458.0,68811.0,36415.0,96618.0,59352.0,590504.0,10.675988914403014
Idaho,2018,1687809.0,36.1,2006.0,192300.0,277498.0,150802.0,1228.0,368.0,53089.0,26772.0,72566.0,48646.0,228882.0,13.560894627294912
Utah,2018,3045350.0,30.7,2006.0,256700.0,472593.0,196392.0,1497.0,418.0,68374.0,28239.0,89202.0,62852.0,309904.0,10.176301574531664
Nevada,2018,2922849.0,37.9,2007.0,242400.0,409424.0,191096.0,1469.0,419.0,57598.0,29961.0,82386.0,54696.0,393431.0,13.460531146152265
Washington,2018,7294336.0,37.6,2005.0,311700.0,1207408.0,549144.0,1826.0,564.0,70116.0,36888.0,99998.0,60528.0,821621.0,11.263821683015424
Oregon,2018,4081943.0,39.2,2005.0,287300.0,652774.0,332749.0,1647.0,519.0,59393.0,32045.0,87973.0,51761.0,565247.0,13.847498605443535
California,2018,39148760.0,36.3,2003.0,475900.0,5022699.0,2062736.0,2282.0,569.0,71228.0,35021.0,107940.0,62893.0,5487141.0,14.016129757366517
Alaska,2018,738516.0,34.0,2005.0,265200.0,104091.0,58081.0,1907.0,573.0,76715.0,35874.0,107851.0,66107.0,77865.0,10.543441171213622
Hawaii,2018,1422029.0,38.9,2001.0,587700.0,174326.0,92036.0,2350.0,519.0,78084.0,34035.0,112114.0,70443.0,137516.0,9.670407565527848
Montana,2019,1050649.0,39.9,2005,230600.0,165378.0,126093.0,1429.0,435.0,54970.0,31151.0,80030.0,49968.0,134605.0,12.811605017470153
Wyoming,2019,581024.0,37.7,2006,220500.0,94372.0,67600.0,1459.0,420.0,64049.0,33366.0,90519.0,56157.0,62257.0,10.715047915404528
Colorado,2019,5610349.0,36.7,2007,343300.0,999647.0,402088.0,1744.0,474.0,72331.0,38226.0,101032.0,62336.0,565873.0,10.086235276985443
Idaho,2019,1717750.0,36.4,2007,212300.0,284487.0,156229.0,1270.0,377.0,55785.0,27970.0,76628.0,51441.0,221256.0,12.880570513753456
Utah,2019,3096848.0,30.8,2007,279100.0,483747.0,201952.0,1551.0,430.0,71621.0,29775.0,93141.0,66190.0,298537.0,9.64002753767702
Nevada,2019,2972382.0,38.0,2009,267900.0,420431.0,198174.0,1524.0,426.0,60365.0,31557.0,86069.0,57758.0,384690.0,12.942145390464617
Washington,2019,7404107.0,37.7,2006,339000.0,1227595.0,565644.0,1886.0,583.0,73775.0,38915.0,104354.0,63540.0,785244.0,10.605519342170501
Oregon,2019,4129803.0,39.3,2006,312200.0,665581.0,340315.0,1699.0,538.0,62818.0,33763.0,92211.0,54360.0,533527.0,12.918945528394454
California,2019,39283497.0,36.5,2004,505000.0,5030939.0,2123641.0,2357.0,594.0,75235.0,36955.0,113056.0,66502.0,5149742.0,13.109174063602332
Alaska,2019,737068.0,34.3,2006,270400.0,102554.0,60442.0,1933.0,582.0,77640.0,36787.0,109359.0,67849.0,76933.0,10.437707240037554
Hawaii,2019,1422094.0,39.1,2002,615300.0,176015.0,94362.0,2418.0,529.0,81275.0,35567.0,115720.0,72736.0,130649.0,9.187086085729916
Montana,2020,1061705.0,40.1,2006,244900.0,167177.0,131551.0,1456.0,451.0,56539.0,32463.0,82254.0,51611.0,132476.0,12.47766564158594
Wyoming,2020,581348.0,38.0,2007,228000.0,96209.0,69321.0,1474.0,429.0,65304.0,34415.0,91758.0,57665.0,61006.0,10.493886622126507
Colorado,2020,5684926.0,36.9,2008,369900.0,1001804.0,413520.0,1808.0,488.0,75231.0,39545.0,104488.0,64930.0,544232.0,9.573246863723467
Idaho,2020,1754367.0,36.6,2008,235600.0,294356.0,165072.0,1312.0,388.0,58915.0,29494.0,79078.0,54135.0,205676.0,11.7236587327509
Utah,2020,3151239.0,31.1,2008,305400.0,496265.0,211398.0,1597.0,437.0,74197.0,30986.0,96522.0,67617.0,283360.0,8.992018694868907
Nevada,2020,3030281.0,38.2,2010,290200.0,435158.0,209706.0,1574.0,433.0,62043.0,32629.0,88283.0,59637.0,381695.0,12.596026573113187
Washington,2020,7512465.0,37.8,2007,366800.0,1253968.0,584091.0,1939.0,605.0,77006.0,40837.0,107904.0,66300.0,751044.0,9.997304479954316
Oregon,2020,4176346.0,39.5,2007,336700.0,681091.0,349915.0,1741.0,553.0,65667.0,35393.0,96335.0,56907.0,506558.0,12.12921534757896
California,2020,39346023.0,36.7,2005,538500.0,5035650.0,2205668.0,2422.0,618.0,78672.0,38576.0,117366.0,69786.0,4853434.0,12.335259398389514
Alaska,2020,736990.0,34.6,2007,275600.0,102364.0,63012.0,1937.0,591.0,77790.0,37094.0,110091.0,69140.0,74369.0,10.09091032442774
Hawaii,2020,1420074.0,39.4,2003,636400.0,181701.0,100336.0,2443.0,540.0,83173.0,37013.0,117652.0,76137.0,127971.0,9.01157263635557
Montana,2021,1077978.0,40.0,2008,263700.0,167834.0,133587.0,1538.0,476.0,60560.0,34423.0,87424.0,54659.0,131512.0,12.199877919586486
